date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:52	119898/119898	---M-Z	200	added ('OK')	text/html	etag:%221d45a-666964e9-712a97094e725c1c;gz%22	https://html.hixstudio.net/tecza-prv/tecza/index-2.html	C:/My%20Web%20Sites/UNITECHGADGETS/html.hixstudio.net/tecza-prv/tecza/index-2.html	(from )
16:22:52	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62b46697-6cfecb0e4ebe319b;gz%22	https://html.hixstudio.net/robots.txt		(from )
16:22:53	2453/2453	---M--	200	added ('OK')	image/png	etag:%22995-665afc81-3cf2f804be4c28ba;;;%22	https://html.hixstudio.net/tecza-prv/tecza/assets/img/logo/favicons.png	C:/My%20Web%20Sites/UNITECHGADGETS/html.hixstudio.net/tecza-prv/tecza/assets/img/logo/favicons.png	(from https://html.hixstudio.net/tecza-prv/tecza/index-2.html)
16:22:54	194897/194897	---M-Z	200	added ('OK')	text/css	etag:%222f951-665afc80-768f592c4137871;gz%22	https://html.hixstudio.net/tecza-prv/tecza/assets/css/bootstrap.css	C:/My%20Web%20Sites/UNITECHGADGETS/html.hixstudio.net/tecza-prv/tecza/assets/css/bootstrap.css	(from https://html.hixstudio.net/tecza-prv/tecza/index-2.html)
16:22:54	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-665afc80-a7828ec7f1438da;gz%22	https://html.hixstudio.net/tecza-prv/tecza/assets/css/animate.css	C:/My%20Web%20Sites/UNITECHGADGETS/html.hixstudio.net/tecza-prv/tecza/assets/css/animate.css	(from https://html.hixstudio.net/tecza-prv/tecza/index-2.html)
16:22:54	15806/15806	---M-Z	200	added ('OK')	text/css	etag:%223dbe-665afc80-5dfb2c612da9bafb;gz%22	https://html.hixstudio.net/tecza-prv/tecza/assets/css/swiper-bundle.css	C:/My%20Web%20Sites/UNITECHGADGETS/html.hixstudio.net/tecza-prv/tecza/assets/css/swiper-bundle.css	(from https://html.hixstudio.net/tecza-prv/tecza/index-2.html)
16:22:55	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-665afc80-d627322d24fa5e80;gz%22	https://html.hixstudio.net/tecza-prv/tecza/assets/css/slick.css	C:/My%20Web%20Sites/UNITECHGADGETS/html.hixstudio.net/tecza-prv/tecza/assets/css/slick.css	(from https://html.hixstudio.net/tecza-prv/tecza/index-2.html)
16:22:55	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-665afc80-daa482dc19adcab4;gz%22	https://html.hixstudio.net/tecza-prv/tecza/assets/css/magnific-popup.css	C:/My%20Web%20Sites/UNITECHGADGETS/html.hixstudio.net/tecza-prv/tecza/assets/css/magnific-popup.css	(from https://html.hixstudio.net/tecza-prv/tecza/index-2.html)
16:22:56	4533/4533	---M-Z	200	added ('OK')	text/css	etag:%2211b5-665afc80-13d77c5916e1f7bf;gz%22	https://html.hixstudio.net/tecza-prv/tecza/assets/css/flaticon_tecza.css	C:/My%20Web%20Sites/UNITECHGADGETS/html.hixstudio.net/tecza-prv/tecza/assets/css/flaticon_tecza.css	(from https://html.hixstudio.net/tecza-prv/tecza/index-2.html)
16:22:56	465639/465639	---M-Z	200	added ('OK')	text/css	etag:%2271ae7-665afc80-3cefe7d735e4b241;gz%22	https://html.hixstudio.net/tecza-prv/tecza/assets/css/font-awesome-pro.css	C:/My%20Web%20Sites/UNITECHGADGETS/html.hixstudio.net/tecza-prv/tecza/assets/css/font-awesome-pro.css	(from https://html.hixstudio.net/tecza-prv/tecza/index-2.html)
